"Report Date","Age","Cases","Rate per 100k"
2020-04-09,"1-14 years",9,1.24
2020-04-09,"15-24 years",17,3.33
2020-04-09,"25-44 years",47,5.22
2020-04-09,"45-64 years",42,6.75
2020-04-09,"65-84 years",6,1.92
2020-04-09,"85+ years",2,5.29
2020-04-10,"1-14 years",1,0.14
2020-04-10,"15-24 years",16,3.14
2020-04-10,"25-44 years",65,7.23
2020-04-10,"45-64 years",27,4.34
2020-04-10,"65-84 years",11,3.52
2020-04-11,"1-14 years",2,0.27
2020-04-11,"15-24 years",18,3.53
2020-04-11,"25-44 years",31,3.45
2020-04-11,"45-64 years",40,6.43
2020-04-11,"65-84 years",8,2.56
2020-04-11,"85+ years",1,2.65
2020-04-12,"1-14 years",2,0.27
2020-04-12,"15-24 years",7,1.37
2020-04-12,"25-44 years",20,2.22
2020-04-12,"45-64 years",27,4.34
2020-04-12,"65-84 years",3,0.96
2020-04-13,"15-24 years",1,0.2
2020-04-13,"25-44 years",22,2.45
2020-04-13,"45-64 years",19,3.05
2020-04-13,"65-84 years",2,0.64
2020-04-13,"85+ years",3,7.94
2020-04-14,"1-14 years",1,0.14
2020-04-14,"15-24 years",11,2.16
2020-04-14,"25-44 years",50,5.56
2020-04-14,"45-64 years",48,7.71
2020-04-14,"65-84 years",12,3.84
2020-04-15,"0-1 years",1,1.99
2020-04-15,"1-14 years",3,0.41
2020-04-15,"15-24 years",17,3.33
2020-04-15,"25-44 years",52,5.78
2020-04-15,"45-64 years",50,8.03
2020-04-15,"65-84 years",8,2.56
2020-04-15,"85+ years",4,10.59
2020-04-16,"1-14 years",4,0.55
2020-04-16,"15-24 years",24,4.71
2020-04-16,"25-44 years",52,5.78
2020-04-16,"45-64 years",37,5.95
2020-04-16,"65-84 years",11,3.52
2020-04-16,"85+ years",2,5.29
2020-04-17,"0-1 years",2,3.99
2020-04-17,"1-14 years",5,0.69
2020-04-17,"15-24 years",15,2.94
2020-04-17,"25-44 years",50,5.56
2020-04-17,"45-64 years",43,6.91
2020-04-17,"65-84 years",11,3.52
2020-04-17,"85+ years",9,23.82
2020-04-18,"0-1 years",1,1.99
2020-04-18,"1-14 years",5,0.69
2020-04-18,"15-24 years",20,3.92
2020-04-18,"25-44 years",55,6.11
2020-04-18,"45-64 years",39,6.27
2020-04-18,"65-84 years",11,3.52
2020-04-18,"85+ years",1,2.65
2020-04-19,"1-14 years",5,0.69
2020-04-19,"15-24 years",26,5.1
2020-04-19,"25-44 years",75,8.34
2020-04-19,"45-64 years",30,4.82
2020-04-19,"65-84 years",11,3.52
2020-04-19,"85+ years",1,2.65
2020-04-20,"1-14 years",4,0.55
2020-04-20,"15-24 years",14,2.75
2020-04-20,"25-44 years",40,4.45
2020-04-20,"45-64 years",25,4.02
2020-04-20,"65-84 years",6,1.92
2020-04-21,"0-1 years",2,3.99
2020-04-21,"1-14 years",9,1.24
2020-04-21,"15-24 years",19,3.73
2020-04-21,"25-44 years",64,7.11
2020-04-21,"45-64 years",32,5.14
2020-04-21,"65-84 years",10,3.2
2020-04-21,"85+ years",2,5.29
2020-04-22,"1-14 years",8,1.1
2020-04-22,"15-24 years",29,5.69
2020-04-22,"25-44 years",59,6.56
2020-04-22,"45-64 years",41,6.59
2020-04-22,"65-84 years",20,6.4
2020-04-22,"85+ years",4,10.59
2020-04-23,"0-1 years",1,1.99
2020-04-23,"1-14 years",7,0.96
2020-04-23,"15-24 years",18,3.53
2020-04-23,"25-44 years",80,8.89
2020-04-23,"45-64 years",42,6.75
2020-04-23,"65-84 years",6,1.92
2020-04-23,"85+ years",2,5.29
2020-04-24,"1-14 years",9,1.24
2020-04-24,"15-24 years",34,6.67
2020-04-24,"25-44 years",63,7
2020-04-24,"45-64 years",64,10.28
2020-04-24,"65-84 years",6,1.92
2020-04-24,"85+ years",5,13.24
2020-04-25,"0-1 years",1,1.99
2020-04-25,"1-14 years",14,1.92
2020-04-25,"15-24 years",36,7.06
2020-04-25,"25-44 years",63,7
2020-04-25,"45-64 years",46,7.39
2020-04-25,"65-84 years",19,6.08
2020-04-25,"85+ years",3,7.94
2020-04-26,"0-1 years",1,1.99
2020-04-26,"1-14 years",8,1.1
2020-04-26,"15-24 years",14,2.75
2020-04-26,"25-44 years",39,4.34
2020-04-26,"45-64 years",40,6.43
2020-04-26,"65-84 years",8,2.56
2020-04-27,"0-1 years",1,1.99
2020-04-27,"1-14 years",2,0.27
2020-04-27,"15-24 years",7,1.37
2020-04-27,"25-44 years",37,4.11
2020-04-27,"45-64 years",34,5.46
2020-04-27,"65-84 years",11,3.52
2020-04-27,"85+ years",3,7.94
2020-04-28,"1-14 years",12,1.65
2020-04-28,"15-24 years",34,6.67
2020-04-28,"25-44 years",64,7.11
2020-04-28,"45-64 years",27,4.34
2020-04-28,"65-84 years",10,3.2
2020-04-29,"0-1 years",2,3.99
2020-04-29,"1-14 years",11,1.51
2020-04-29,"15-24 years",40,7.84
2020-04-29,"25-44 years",63,7
2020-04-29,"45-64 years",47,7.55
2020-04-29,"65-84 years",12,3.84
2020-04-30,"1-14 years",9,1.24
2020-04-30,"15-24 years",30,5.88
2020-04-30,"25-44 years",55,6.11
2020-04-30,"45-64 years",41,6.59
2020-04-30,"65-84 years",20,6.4
2020-04-30,"85+ years",1,2.65
2020-05-01,"0-1 years",2,3.99
2020-05-01,"1-14 years",8,1.1
2020-05-01,"15-24 years",31,6.08
2020-05-01,"25-44 years",51,5.67
2020-05-01,"45-64 years",45,7.23
2020-05-01,"65-84 years",14,4.48
2020-05-01,"85+ years",6,15.88
2020-05-02,"1-14 years",13,1.78
2020-05-02,"15-24 years",25,4.9
2020-05-02,"25-44 years",73,8.12
2020-05-02,"45-64 years",53,8.52
2020-05-02,"65-84 years",17,5.44
2020-05-02,"85+ years",6,15.88
2020-05-03,"1-14 years",6,0.82
2020-05-03,"15-24 years",28,5.49
2020-05-03,"25-44 years",48,5.34
2020-05-03,"45-64 years",46,7.39
2020-05-03,"65-84 years",5,1.6
2020-05-04,"1-14 years",10,1.37
2020-05-04,"15-24 years",28,5.49
2020-05-04,"25-44 years",47,5.22
2020-05-04,"45-64 years",30,4.82
2020-05-04,"65-84 years",12,3.84
2020-05-04,"85+ years",2,5.29
2020-05-05,"1-14 years",14,1.92
2020-05-05,"15-24 years",32,6.28
2020-05-05,"25-44 years",70,7.78
2020-05-05,"45-64 years",32,5.14
