"Report Date","Age","Cases","Rate per 100k"
2020-07-05,"45-64 years",110,17.68
2020-07-05,"65-84 years",38,12.15
2020-07-05,"85+ years",4,10.59
2020-07-06,"0-1 years",4,7.97
2020-07-06,"1-14 years",49,6.72
2020-07-06,"15-24 years",124,24.32
2020-07-06,"25-44 years",221,24.57
2020-07-06,"45-64 years",138,22.17
2020-07-06,"65-84 years",46,14.71
2020-07-06,"85+ years",3,7.94
2020-07-07,"0-1 years",2,3.99
2020-07-07,"1-14 years",53,7.27
2020-07-07,"15-24 years",174,34.12
2020-07-07,"25-44 years",292,32.46
2020-07-07,"45-64 years",157,25.23
2020-07-07,"65-84 years",54,17.27
2020-07-07,"85+ years",17,45
2020-07-08,"0-1 years",2,3.99
2020-07-08,"1-14 years",47,6.45
2020-07-08,"15-24 years",145,28.44
2020-07-08,"25-44 years",243,27.01
2020-07-08,"45-64 years",135,21.69
2020-07-08,"65-84 years",44,14.07
2020-07-08,"85+ years",10,26.47
2020-07-09,"0-1 years",1,1.99
2020-07-09,"1-14 years",70,9.61
2020-07-09,"15-24 years",239,46.87
2020-07-09,"25-44 years",298,33.13
2020-07-09,"45-64 years",180,28.92
2020-07-09,"65-84 years",77,24.62
2020-07-09,"85+ years",10,26.47
2020-07-10,"0-1 years",2,3.99
2020-07-10,"1-14 years",38,5.21
2020-07-10,"15-24 years",144,28.24
2020-07-10,"25-44 years",253,28.13
2020-07-10,"45-64 years",139,22.34
2020-07-10,"65-84 years",38,12.15
2020-07-10,"85+ years",11,29.12
2020-07-11,"0-1 years",2,3.99
2020-07-11,"1-14 years",42,5.76
2020-07-11,"15-24 years",193,37.85
2020-07-11,"25-44 years",222,24.68
2020-07-11,"45-64 years",133,21.37
2020-07-11,"65-84 years",36,11.51
2020-07-11,"85+ years",15,39.71
2020-07-12,"0-1 years",2,3.99
2020-07-12,"1-14 years",51,7
2020-07-12,"15-24 years",164,32.16
2020-07-12,"25-44 years",185,20.57
2020-07-12,"45-64 years",132,21.21
2020-07-12,"65-84 years",44,14.07
2020-07-12,"85+ years",12,31.77
2020-07-13,"0-1 years",4,7.97
2020-07-13,"1-14 years",36,4.94
2020-07-13,"15-24 years",112,21.97
2020-07-13,"25-44 years",158,17.56
2020-07-13,"45-64 years",111,17.84
2020-07-13,"65-84 years",49,15.67
2020-07-13,"85+ years",7,18.53
2020-07-14,"0-1 years",2,3.99
2020-07-14,"1-14 years",40,5.49
2020-07-14,"15-24 years",117,22.95
2020-07-14,"25-44 years",176,19.57
2020-07-14,"45-64 years",95,15.27
2020-07-14,"65-84 years",28,8.95
2020-07-14,"85+ years",3,7.94
2020-07-15,"0-1 years",2,3.99
2020-07-15,"1-14 years",39,5.35
2020-07-15,"15-24 years",183,35.89
2020-07-15,"25-44 years",244,27.13
2020-07-15,"45-64 years",175,28.12
2020-07-15,"65-84 years",61,19.51
2020-07-15,"85+ years",4,10.59
2020-07-16,"0-1 years",5,9.97
2020-07-16,"1-14 years",73,10.02
2020-07-16,"15-24 years",185,36.28
2020-07-16,"25-44 years",278,30.91
2020-07-16,"45-64 years",144,23.14
2020-07-16,"65-84 years",58,18.55
2020-07-16,"85+ years",3,7.94
2020-07-17,"1-14 years",60,8.23
2020-07-17,"15-24 years",203,39.81
2020-07-17,"25-44 years",254,28.24
2020-07-17,"45-64 years",168,27
2020-07-17,"65-84 years",53,16.95
2020-07-17,"85+ years",3,7.94
2020-07-18,"0-1 years",6,11.96
2020-07-18,"1-14 years",42,5.76
2020-07-18,"15-24 years",225,44.13
2020-07-18,"25-44 years",287,31.91
2020-07-18,"45-64 years",180,28.92
2020-07-18,"65-84 years",58,18.55
2020-07-18,"85+ years",5,13.24
2020-07-19,"0-1 years",3,5.98
2020-07-19,"1-14 years",33,4.53
2020-07-19,"15-24 years",99,19.42
2020-07-19,"25-44 years",147,16.34
2020-07-19,"45-64 years",78,12.53
2020-07-19,"65-84 years",46,14.71
2020-07-19,"85+ years",6,15.88
2020-07-20,"0-1 years",4,7.97
2020-07-20,"1-14 years",32,4.39
2020-07-20,"15-24 years",110,21.57
2020-07-20,"25-44 years",166,18.45
2020-07-20,"45-64 years",96,15.43
2020-07-20,"65-84 years",37,11.83
2020-07-20,"85+ years",2,5.29
2020-07-21,"0-1 years",2,3.99
2020-07-21,"1-14 years",32,4.39
2020-07-21,"15-24 years",130,25.5
2020-07-21,"25-44 years",213,23.68
2020-07-21,"45-64 years",118,18.96
2020-07-21,"65-84 years",53,16.95
2020-07-21,"85+ years",8,21.18
2020-07-22,"0-1 years",1,1.99
2020-07-22,"1-14 years",33,4.53
2020-07-22,"15-24 years",122,23.93
2020-07-22,"25-44 years",199,22.12
2020-07-22,"45-64 years",119,19.12
2020-07-22,"65-84 years",36,11.51
2020-07-22,"85+ years",2,5.29
2020-07-23,"0-1 years",3,5.98
2020-07-23,"1-14 years",73,10.02
2020-07-23,"15-24 years",258,50.6
2020-07-23,"25-44 years",323,35.91
2020-07-23,"45-64 years",161,25.87
2020-07-23,"65-84 years",46,14.71
2020-07-23,"85+ years",6,15.88
2020-07-24,"0-1 years",4,7.97
2020-07-24,"1-14 years",57,7.82
2020-07-24,"15-24 years",175,34.32
2020-07-24,"25-44 years",252,28.01
2020-07-24,"45-64 years",141,22.66
2020-07-24,"65-84 years",38,12.15
2020-07-25,"0-1 years",1,1.99
2020-07-25,"1-14 years",25,3.43
2020-07-25,"15-24 years",90,17.65
2020-07-25,"25-44 years",132,14.67
2020-07-25,"45-64 years",77,12.37
2020-07-25,"65-84 years",29,9.27
2020-07-25,"85+ years",3,7.94
2020-07-26,"1-14 years",41,5.63
2020-07-26,"15-24 years",117,22.95
2020-07-26,"25-44 years",150,16.68
2020-07-26,"45-64 years",96,15.43
2020-07-26,"65-84 years",25,7.99
2020-07-26,"85+ years",6,15.88
2020-07-27,"0-1 years",3,5.98
2020-07-27,"1-14 years",26,3.57
2020-07-27,"15-24 years",113,22.16
2020-07-27,"25-44 years",149,16.56
2020-07-27,"45-64 years",101,16.23
2020-07-27,"65-84 years",30,9.59
2020-07-27,"85+ years",1,2.65
2020-07-28,"0-1 years",1,1.99
2020-07-28,"1-14 years",25,3.43
2020-07-28,"15-24 years",65,12.75
2020-07-28,"25-44 years",136,15.12
2020-07-28,"45-64 years",75,12.05
2020-07-28,"65-84 years",32,10.23
2020-07-28,"85+ years",6,15.88
2020-07-29,"1-14 years",34,4.67
2020-07-29,"15-24 years",119,23.34
2020-07-29,"25-44 years",190,21.12
2020-07-29,"45-64 years",101,16.23
2020-07-29,"65-84 years",42,13.43
2020-07-29,"85+ years",10,26.47
2020-07-30,"0-1 years",1,1.99
2020-07-30,"1-14 years",36,4.94
2020-07-30,"15-24 years",124,24.32
2020-07-30,"25-44 years",195,21.68
2020-07-30,"45-64 years",118,18.96
2020-07-30,"65-84 years",33,10.55
2020-07-30,"85+ years",1,2.65
2020-07-31,"0-1 years",1,1.99
2020-07-31,"1-14 years",27,3.71
2020-07-31,"15-24 years",118,23.14
2020-07-31,"25-44 years",177,19.68
2020-07-31,"45-64 years",130,20.89
2020-07-31,"65-84 years",34,10.87
2020-07-31,"85+ years",3,7.94
2020-08-01,"0-1 years",3,5.98
2020-08-01,"1-14 years",48,6.59
2020-08-01,"15-24 years",127,24.91
2020-08-01,"25-44 years",157,17.45
2020-08-01,"45-64 years",115,18.48
2020-08-01,"65-84 years",25,7.99
2020-08-01,"85+ years",6,15.88
2020-08-02,"0-1 years",3,5.98
2020-08-02,"1-14 years",29,3.98
2020-08-02,"15-24 years",82,16.08
2020-08-02,"25-44 years",108,12.01
2020-08-02,"45-64 years",81,13.02
2020-08-02,"65-84 years",34,10.87
2020-08-02,"85+ years",4,10.59
2020-08-03,"0-1 years",1,1.99
2020-08-03,"1-14 years",41,5.63
2020-08-03,"15-24 years",83,16.28
2020-08-03,"25-44 years",129,14.34
2020-08-03,"45-64 years",79,12.69
2020-08-03,"65-84 years",35,11.19
2020-08-03,"85+ years",1,2.65
2020-08-04,"0-1 years",1,1.99
2020-08-04,"1-14 years",28,3.84
2020-08-04,"15-24 years",107,20.98
2020-08-04,"25-44 years",150,16.68
2020-08-04,"45-64 years",81,13.02
2020-08-04,"65-84 years",41,13.11
2020-08-04,"85+ years",3,7.94
2020-08-05,"0-1 years",1,1.99
2020-08-05,"1-14 years",51,7
2020-08-05,"15-24 years",146,28.63
2020-08-05,"25-44 years",219,24.35
2020-08-05,"45-64 years",116,18.64
2020-08-05,"65-84 years",40,12.79
2020-08-05,"85+ years",5,13.24
2020-08-06,"1-14 years",34,4.67
2020-08-06,"15-24 years",111,21.77
2020-08-06,"25-44 years",165,18.34
2020-08-06,"45-64 years",106,17.03
2020-08-06,"65-84 years",33,10.55
2020-08-06,"85+ years",4,10.59
2020-08-07,"0-1 years",2,3.99
2020-08-07,"1-14 years",24,3.29
2020-08-07,"15-24 years",109,21.38
2020-08-07,"25-44 years",137,15.23
2020-08-07,"45-64 years",80,12.85
2020-08-07,"65-84 years",30,9.59
2020-08-07,"85+ years",2,5.29
2020-08-08,"0-1 years",2,3.99
2020-08-08,"1-14 years",34,4.67
2020-08-08,"15-24 years",83,16.28
2020-08-08,"25-44 years",132,14.67
2020-08-08,"45-64 years",95,15.27
2020-08-08,"65-84 years",33,10.55
2020-08-08,"85+ years",2,5.29
2020-08-09,"1-14 years",26,3.57
2020-08-09,"15-24 years",62,12.16
2020-08-09,"25-44 years",93,10.34
2020-08-09,"45-64 years",70,11.25
2020-08-09,"65-84 years",20,6.4
2020-08-10,"0-1 years",3,5.98
2020-08-10,"1-14 years",36,4.94
2020-08-10,"15-24 years",88,17.26
2020-08-10,"25-44 years",123,13.67
2020-08-10,"45-64 years",78,12.53
2020-08-10,"65-84 years",23,7.36
2020-08-10,"85+ years",1,2.65
2020-08-11,"0-1 years",2,3.99
2020-08-11,"1-14 years",20,2.74
2020-08-11,"15-24 years",89,17.45
2020-08-11,"25-44 years",127,14.12
2020-08-11,"45-64 years",68,10.93
2020-08-11,"65-84 years",16,5.12
2020-08-12,"0-1 years",3,5.98
2020-08-12,"1-14 years",20,2.74
2020-08-12,"15-24 years",78,15.3
2020-08-12,"25-44 years",119,13.23
2020-08-12,"45-64 years",97,15.59
2020-08-12,"65-84 years",16,5.12
2020-08-12,"85+ years",1,2.65
2020-08-13,"0-1 years",1,1.99
2020-08-13,"1-14 years",37,5.08
2020-08-13,"15-24 years",155,30.4
2020-08-13,"25-44 years",214,23.79
2020-08-13,"45-64 years",117,18.8
2020-08-13,"65-84 years",31,9.91
2020-08-13,"85+ years",2,5.29
2020-08-14,"0-1 years",4,7.97
2020-08-14,"1-14 years",24,3.29
2020-08-14,"15-24 years",111,21.77
2020-08-14,"25-44 years",112,12.45
2020-08-14,"45-64 years",83,13.34
2020-08-14,"65-84 years",24,7.68
2020-08-15,"0-1 years",3,5.98
2020-08-15,"1-14 years",39,5.35
2020-08-15,"15-24 years",91,17.85
2020-08-15,"25-44 years",97,10.78
2020-08-15,"45-64 years",86,13.82
2020-08-15,"65-84 years",21,6.72
2020-08-15,"85+ years",2,5.29
2020-08-16,"1-14 years",17,2.33
2020-08-16,"15-24 years",68,13.34
2020-08-16,"25-44 years",81,9
2020-08-16,"45-64 years",56,9
2020-08-16,"65-84 years",16,5.12
2020-08-16,"85+ years",1,2.65
2020-08-17,"1-14 years",12,1.65
2020-08-17,"15-24 years",77,15.1
2020-08-17,"25-44 years",88,9.78
2020-08-17,"45-64 years",63,10.12
2020-08-17,"65-84 years",22,7.04
2020-08-18,"1-14 years",24,3.29
2020-08-18,"15-24 years",102,20
2020-08-18,"25-44 years",132,14.67
2020-08-18,"45-64 years",88,14.14
2020-08-18,"65-84 years",18,5.76
2020-08-19,"0-1 years",3,5.98
2020-08-19,"1-14 years",37,5.08
2020-08-19,"15-24 years",129,25.3
2020-08-19,"25-44 years",176,19.57
2020-08-19,"45-64 years",95,15.27
2020-08-19,"65-84 years",18,5.76
2020-08-19,"85+ years",1,2.65
2020-08-20,"0-1 years",3,5.98
2020-08-20,"1-14 years",42,5.76
2020-08-20,"15-24 years",154,30.2
2020-08-20,"25-44 years",154,17.12
2020-08-20,"45-64 years",104,16.71
2020-08-20,"65-84 years",25,7.99
2020-08-20,"85+ years",1,2.65
2020-08-21,"0-1 years",1,1.99
2020-08-21,"1-14 years",33,4.53
2020-08-21,"15-24 years",110,21.57
2020-08-21,"25-44 years",123,13.67
2020-08-21,"45-64 years",77,12.37
2020-08-21,"65-84 years",30,9.59
2020-08-21,"85+ years",1,2.65
2020-08-22,"1-14 years",19,2.61
2020-08-22,"15-24 years",83,16.28
2020-08-22,"25-44 years",86,9.56
2020-08-22,"45-64 years",84,13.5
2020-08-22,"65-84 years",20,6.4
2020-08-22,"85+ years",6,15.88
2020-08-23,"1-14 years",24,3.29
2020-08-23,"15-24 years",70,13.73
2020-08-23,"25-44 years",73,8.12
2020-08-23,"45-64 years",66,10.61
2020-08-23,"65-84 years",14,4.48
2020-08-23,"85+ years",2,5.29
2020-08-24,"0-1 years",1,1.99
2020-08-24,"1-14 years",31,4.25
2020-08-24,"15-24 years",107,20.98
2020-08-24,"25-44 years",157,17.45
2020-08-24,"45-64 years",75,12.05
2020-08-24,"65-84 years",27,8.63
2020-08-24,"85+ years",2,5.29
2020-08-25,"1-14 years",37,5.08
2020-08-25,"15-24 years",93,18.24
2020-08-25,"25-44 years",149,16.56
2020-08-25,"45-64 years",84,13.5
2020-08-25,"65-84 years",37,11.83
2020-08-25,"85+ years",11,29.12
2020-08-26,"1-14 years",25,3.43
2020-08-26,"15-24 years",107,20.98
2020-08-26,"25-44 years",151,16.79
2020-08-26,"45-64 years",85,13.66
2020-08-26,"65-84 years",18,5.76
2020-08-26,"85+ years",1,2.65
2020-08-27,"0-1 years",1,1.99
2020-08-27,"1-14 years",33,4.53
2020-08-27,"15-24 years",105,20.59
2020-08-27,"25-44 years",133,14.79
2020-08-27,"45-64 years",89,14.3
2020-08-27,"65-84 years",28,8.95
2020-08-27,"85+ years",3,7.94
2020-08-28,"0-1 years",3,5.98
2020-08-28,"1-14 years",44,6.04
2020-08-28,"15-24 years",123,24.12
2020-08-28,"25-44 years",186,20.68
2020-08-28,"45-64 years",90,14.46
2020-08-28,"65-84 years",23,7.36
2020-08-28,"85+ years",3,7.94
2020-08-29,"1-14 years",34,4.67
2020-08-29,"15-24 years",137,26.87
2020-08-29,"25-44 years",183,20.34
2020-08-29,"45-64 years",82,13.18
2020-08-29,"65-84 years",24,7.68
2020-08-29,"85+ years",3,7.94
2020-08-30,"0-1 years",1,1.99
2020-08-30,"1-14 years",20,2.74
2020-08-30,"15-24 years",62,12.16
2020-08-30,"25-44 years",94,10.45
2020-08-30,"45-64 years",59,9.48
2020-08-30,"65-84 years",18,5.76
2020-08-30,"85+ years",2,5.29
2020-08-31,"0-1 years",1,1.99
2020-08-31,"1-14 years",24,3.29
2020-08-31,"15-24 years",82,16.08
2020-08-31,"25-44 years",95,10.56
2020-08-31,"45-64 years",68,10.93
2020-08-31,"65-84 years",19,6.08
2020-09-01,"0-1 years",1,1.99
2020-09-01,"1-14 years",28,3.84
2020-09-01,"15-24 years",127,24.91
2020-09-01,"25-44 years",136,15.12
2020-09-01,"45-64 years",86,13.82
2020-09-01,"65-84 years",39,12.47
2020-09-01,"85+ years",5,13.24
2020-09-02,"1-14 years",34,4.67
2020-09-02,"15-24 years",161,31.58
2020-09-02,"25-44 years",177,19.68
2020-09-02,"45-64 years",97,15.59
2020-09-02,"65-84 years",41,13.11
2020-09-02,"85+ years",3,7.94
2020-09-03,"0-1 years",1,1.99
2020-09-03,"1-14 years",27,3.71
2020-09-03,"15-24 years",205,40.2
2020-09-03,"25-44 years",139,15.45
2020-09-03,"45-64 years",106,17.03
2020-09-03,"65-84 years",24,7.68
2020-09-03,"85+ years",2,5.29
2020-09-04,"0-1 years",3,5.98
2020-09-04,"1-14 years",22,3.02
2020-09-04,"15-24 years",165,32.36
2020-09-04,"25-44 years",129,14.34
2020-09-04,"45-64 years",99,15.91
2020-09-04,"65-84 years",28,8.95
2020-09-04,"85+ years",1,2.65
2020-09-05,"0-1 years",2,3.99
2020-09-05,"1-14 years",35,4.8
2020-09-05,"15-24 years",175,34.32
2020-09-05,"25-44 years",107,11.9
2020-09-05,"45-64 years",61,9.8
2020-09-05,"65-84 years",16,5.12
2020-09-05,"85+ years",3,7.94
2020-09-06,"0-1 years",2,3.99
2020-09-06,"1-14 years",23,3.16
2020-09-06,"15-24 years",133,26.08
2020-09-06,"25-44 years",89,9.89
2020-09-06,"45-64 years",63,10.12
2020-09-06,"65-84 years",20,6.4
2020-09-06,"85+ years",2,5.29
2020-09-07,"0-1 years",2,3.99
2020-09-07,"1-14 years",23,3.16
2020-09-07,"15-24 years",125,24.52
2020-09-07,"25-44 years",88,9.78
2020-09-07,"45-64 years",61,9.8
2020-09-07,"65-84 years",16,5.12
2020-09-07,"85+ years",1,2.65
2020-09-08,"0-1 years",1,1.99
2020-09-08,"1-14 years",28,3.84
2020-09-08,"15-24 years",109,21.38
2020-09-08,"25-44 years",96,10.67
2020-09-08,"45-64 years",53,8.52
2020-09-08,"65-84 years",20,6.4
2020-09-09,"1-14 years",17,2.33
2020-09-09,"15-24 years",160,31.38
2020-09-09,"25-44 years",121,13.45
2020-09-09,"45-64 years",56,9
2020-09-09,"65-84 years",22,7.04
2020-09-09,"85+ years",5,13.24
2020-09-10,"0-1 years",1,1.99
2020-09-10,"1-14 years",46,6.31
2020-09-10,"15-24 years",280,54.91
2020-09-10,"25-44 years",191,21.23
2020-09-10,"45-64 years",102,16.39
2020-09-10,"65-84 years",38,12.15
2020-09-10,"85+ years",8,21.18
2020-09-11,"1-14 years",32,4.39
2020-09-11,"15-24 years",253,49.62
2020-09-11,"25-44 years",167,18.57
2020-09-11,"45-64 years",104,16.71
2020-09-11,"65-84 years",28,8.95
2020-09-11,"85+ years",2,5.29
2020-09-12,"0-1 years",2,3.99
2020-09-12,"1-14 years",42,5.76
2020-09-12,"15-24 years",285,55.89
2020-09-12,"25-44 years",164,18.23
2020-09-12,"45-64 years",117,18.8
2020-09-12,"65-84 years",26,8.31
2020-09-12,"85+ years",8,21.18
2020-09-13,"0-1 years",2,3.99
2020-09-13,"1-14 years",38,5.21
2020-09-13,"15-24 years",227,44.52
2020-09-13,"25-44 years",162,18.01
2020-09-13,"45-64 years",95,15.27
2020-09-13,"65-84 years",26,8.31
2020-09-13,"85+ years",1,2.65
2020-09-14,"1-14 years",30,4.12
2020-09-14,"15-24 years",239,46.87
2020-09-14,"25-44 years",162,18.01
2020-09-14,"45-64 years",117,18.8
2020-09-14,"65-84 years",26,8.31
2020-09-14,"85+ years",3,7.94
2020-09-15,"0-1 years",4,7.97
2020-09-15,"1-14 years",45,6.18
2020-09-15,"15-24 years",287,56.29
2020-09-15,"25-44 years",214,23.79
2020-09-15,"45-64 years",157,25.23
2020-09-15,"65-84 years",35,11.19
2020-09-15,"85+ years",1,2.65
2020-09-16,"0-1 years",1,1.99
2020-09-16,"1-14 years",49,6.72
2020-09-16,"15-24 years",364,71.39
2020-09-16,"25-44 years",253,28.13
2020-09-16,"45-64 years",189,30.37
2020-09-16,"65-84 years",53,16.95
2020-09-16,"85+ years",5,13.24
2020-09-17,"0-1 years",4,7.97
2020-09-17,"1-14 years",66,9.06
2020-09-17,"15-24 years",487,95.51
2020-09-17,"25-44 years",306,34.02
2020-09-17,"45-64 years",183,29.41
2020-09-17,"65-84 years",57,18.23
2020-09-17,"85+ years",7,18.53
2020-09-18,"0-1 years",4,7.97
2020-09-18,"1-14 years",81,11.12
2020-09-18,"15-24 years",408,80.02
2020-09-18,"25-44 years",303,33.68
2020-09-18,"45-64 years",223,35.83
2020-09-18,"65-84 years",56,17.91
2020-09-18,"85+ years",4,10.59
2020-09-19,"0-1 years",3,5.98
2020-09-19,"1-14 years",77,10.57
2020-09-19,"15-24 years",346,67.86
2020-09-19,"25-44 years",257,28.57
2020-09-19,"45-64 years",189,30.37
2020-09-19,"65-84 years",36,11.51
2020-09-19,"85+ years",3,7.94
2020-09-20,"1-14 years",65,8.92
2020-09-20,"15-24 years",214,41.97
2020-09-20,"25-44 years",202,22.46
2020-09-20,"45-64 years",111,17.84
2020-09-20,"65-84 years",38,12.15
2020-09-20,"85+ years",6,15.88
2020-09-21,"0-1 years",3,5.98
2020-09-21,"1-14 years",35,4.8
2020-09-21,"15-24 years",216,42.36
2020-09-21,"25-44 years",203,22.57
2020-09-21,"45-64 years",137,22.01
2020-09-21,"65-84 years",32,10.23
2020-09-21,"85+ years",1,2.65
2020-09-22,"0-1 years",5,9.97
2020-09-22,"1-14 years",57,7.82
2020-09-22,"15-24 years",302,59.23
2020-09-22,"25-44 years",278,30.91
2020-09-22,"45-64 years",185,29.73
2020-09-22,"65-84 years",54,17.27
2020-09-22,"85+ years",6,15.88
2020-09-23,"0-1 years",2,3.99
2020-09-23,"1-14 years",92,12.62
2020-09-23,"15-24 years",419,82.17
2020-09-23,"25-44 years",388,43.13
2020-09-23,"45-64 years",237,38.08
2020-09-23,"65-84 years",71,22.71
2020-09-23,"85+ years",9,23.82
2020-09-24,"0-1 years",3,5.98
2020-09-24,"1-14 years",116,15.92
2020-09-24,"15-24 years",468,91.78
2020-09-24,"25-44 years",457,50.8
2020-09-24,"45-64 years",284,45.63
2020-09-24,"65-84 years",81,25.9
2020-09-24,"85+ years",12,31.77
2020-09-25,"0-1 years",1,1.99
2020-09-25,"1-14 years",76,10.43
2020-09-25,"15-24 years",352,69.03
2020-09-25,"25-44 years",341,37.91
2020-09-25,"45-64 years",197,31.66
2020-09-25,"65-84 years",49,15.67
2020-09-25,"85+ years",8,21.18
2020-09-26,"0-1 years",1,1.99
2020-09-26,"1-14 years",73,10.02
2020-09-26,"15-24 years",378,74.13
2020-09-26,"25-44 years",327,36.35
2020-09-26,"45-64 years",204,32.78
2020-09-26,"65-84 years",69,22.07
2020-09-26,"85+ years",11,29.12
2020-09-27,"0-1 years",2,3.99
2020-09-27,"1-14 years",79,10.84
2020-09-27,"15-24 years",267,52.36
2020-09-27,"25-44 years",285,31.68
2020-09-27,"45-64 years",172,27.64
2020-09-27,"65-84 years",52,16.63
2020-09-27,"85+ years",16,42.35
2020-09-28,"0-1 years",1,1.99
2020-09-28,"1-14 years",60,8.23
2020-09-28,"15-24 years",185,36.28
2020-09-28,"25-44 years",218,24.24
2020-09-28,"45-64 years",155,24.91
2020-09-28,"65-84 years",37,11.83
2020-09-28,"85+ years",7,18.53
2020-09-29,"0-1 years",2,3.99
2020-09-29,"1-14 years",79,10.84
2020-09-29,"15-24 years",236,46.28
2020-09-29,"25-44 years",315,35.02
2020-09-29,"45-64 years",210,33.74
2020-09-29,"65-84 years",73,23.34
2020-09-29,"85+ years",5,13.24
2020-09-30,"0-1 years",2,3.99
2020-09-30,"1-14 years",88,12.08
2020-09-30,"15-24 years",270,52.95
2020-09-30,"25-44 years",304,33.8
2020-09-30,"45-64 years",225,36.15
2020-09-30,"65-84 years",93,29.74
2020-09-30,"85+ years",13,34.41
2020-10-01,"0-1 years",3,5.98
2020-10-01,"1-14 years",71,9.74
2020-10-01,"15-24 years",348,68.25
2020-10-01,"25-44 years",380,42.24
2020-10-01,"45-64 years",219,35.19
2020-10-01,"65-84 years",78,24.94
2020-10-01,"85+ years",10,26.47
2020-10-02,"0-1 years",5,9.97
2020-10-02,"1-14 years",98,13.45
2020-10-02,"15-24 years",300,58.84
2020-10-02,"25-44 years",387,43.02
2020-10-02,"45-64 years",228,36.64
2020-10-02,"65-84 years",66,21.11
2020-10-02,"85+ years",7,18.53
2020-10-03,"0-1 years",3,5.98
2020-10-03,"1-14 years",133,18.25
2020-10-03,"15-24 years",352,69.03
2020-10-03,"25-44 years",502,55.81
2020-10-03,"45-64 years",296,47.56
2020-10-03,"65-84 years",78,24.94
2020-10-03,"85+ years",11,29.12
2020-10-04,"0-1 years",2,3.99
2020-10-04,"1-14 years",75,10.29
2020-10-04,"15-24 years",265,51.97
2020-10-04,"25-44 years",394,43.8
2020-10-04,"45-64 years",266,42.74
2020-10-04,"65-84 years",64,20.47
2020-10-04,"85+ years",6,15.88
2020-10-05,"0-1 years",3,5.98
2020-10-05,"1-14 years",59,8.1
2020-10-05,"15-24 years",173,33.93
2020-10-05,"25-44 years",262,29.13
2020-10-05,"45-64 years",177,28.44
2020-10-05,"65-84 years",53,16.95
2020-10-05,"85+ years",5,13.24
2020-10-06,"0-1 years",2,3.99
2020-10-06,"1-14 years",67,9.19
2020-10-06,"15-24 years",250,49.03
2020-10-06,"25-44 years",354,39.35
2020-10-06,"45-64 years",228,36.64
2020-10-06,"65-84 years",73,23.34
2020-10-06,"85+ years",9,23.82
2020-10-07,"0-1 years",5,9.97
2020-10-07,"1-14 years",114,15.64
2020-10-07,"15-24 years",381,74.72
2020-10-07,"25-44 years",517,57.47
2020-10-07,"45-64 years",354,56.88
2020-10-07,"65-84 years",114,36.46
2020-10-07,"85+ years",7,18.53
2020-10-08,"0-1 years",4,7.97
2020-10-08,"1-14 years",132,18.11
2020-10-08,"15-24 years",383,75.11
2020-10-08,"25-44 years",467,51.92
2020-10-08,"45-64 years",287,46.12
2020-10-08,"65-84 years",71,22.71
2020-10-08,"85+ years",12,31.77
2020-10-09,"0-1 years",5,9.97
2020-10-09,"1-14 years",114,15.64
2020-10-09,"15-24 years",326,63.94
2020-10-09,"25-44 years",506,56.25
2020-10-09,"45-64 years",308,49.49
2020-10-09,"65-84 years",85,27.18
2020-10-09,"85+ years",13,34.41
2020-10-10,"0-1 years",1,1.99
2020-10-10,"1-14 years",109,14.96
2020-10-10,"15-24 years",324,63.54
2020-10-10,"25-44 years",394,43.8
2020-10-10,"45-64 years",279,44.83
2020-10-10,"65-84 years",85,27.18
2020-10-10,"85+ years",13,34.41
2020-10-11,"0-1 years",4,7.97
2020-10-11,"1-14 years",98,13.45
2020-10-11,"15-24 years",229,44.91
2020-10-11,"25-44 years",349,38.8
2020-10-11,"45-64 years",219,35.19
2020-10-11,"65-84 years",67,21.43
2020-10-11,"85+ years",11,29.12
2020-10-12,"0-1 years",2,3.99
2020-10-12,"1-14 years",82,11.25
2020-10-12,"15-24 years",232,45.5
2020-10-12,"25-44 years",339,37.69
2020-10-12,"45-64 years",218,35.03
2020-10-12,"65-84 years",75,23.98
2020-10-12,"85+ years",5,13.24
2020-10-13,"0-1 years",4,7.97
2020-10-13,"1-14 years",101,13.86
2020-10-13,"15-24 years",233,45.7
2020-10-13,"25-44 years",411,45.69
2020-10-13,"45-64 years",287,46.12
2020-10-13,"65-84 years",101,32.3
2020-10-13,"85+ years",7,18.53
2020-10-14,"0-1 years",3,5.98
2020-10-14,"1-14 years",142,19.49
2020-10-14,"15-24 years",371,72.76
2020-10-14,"25-44 years",538,59.81
2020-10-14,"45-64 years",330,53.03
2020-10-14,"65-84 years",106,33.9
2020-10-14,"85+ years",13,34.41
2020-10-15,"0-1 years",4,7.97
2020-10-15,"1-14 years",147,20.17
2020-10-15,"15-24 years",386,75.7
2020-10-15,"25-44 years",535,59.48
2020-10-15,"45-64 years",339,54.47
2020-10-15,"65-84 years",84,26.86
2020-10-15,"85+ years",16,42.35
2020-10-16,"0-1 years",4,7.97
2020-10-16,"1-14 years",141,19.35
2020-10-16,"15-24 years",264,51.78
2020-10-16,"25-44 years",497,55.25
2020-10-16,"45-64 years",316,50.78
2020-10-16,"65-84 years",90,28.78
2020-10-16,"85+ years",10,26.47
2020-10-17,"1-14 years",123,16.88
2020-10-17,"15-24 years",253,49.62
2020-10-17,"25-44 years",373,41.47
2020-10-17,"45-64 years",270,43.39
2020-10-17,"65-84 years",88,28.14
2020-10-17,"85+ years",9,23.82
